RANK,TEAM,GP,W,L,MIN,DEF_RTG,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON,PLAY
19,Detroit Pistons,82,37,45,48.3,105.3,34.6,81.2,7,3.8,12.7,10.1,10.7,41.2,2016-17,reg
20,Charlotte Hornets,82,36,46,48.4,106.1,34.8,79.6,7,4.8,13.1,11.4,12.9,40.5,2016-17,reg
21,New Orleans Pelicans,82,34,48,48.5,104.9,35.1,76.8,7.8,5.5,15.6,12.4,13.6,44.1,2016-17,reg
22,Dallas Mavericks,82,33,49,48.2,106.3,30.7,77.6,7.5,3.7,14,11.6,13.6,39.5,2016-17,reg
23,Sacramento Kings,82,32,50,48.5,109.1,32.3,76.3,7.6,4,17.4,12.5,14.7,40.7,2016-17,reg
24,Minnesota Timberwolves,82,31,51,48.3,109.1,31,75.9,8,4.5,17.2,13.4,13.9,46.2,2016-17,reg
24,New York Knicks,82,31,51,48.4,108.7,33.2,74.1,7.1,5.5,16.5,14.7,14,46.1,2016-17,reg
26,Orlando Magic,82,29,53,48.3,108,33.3,77.4,7.1,4.8,15.9,13.4,13,46.6,2016-17,reg
27,Philadelphia 76ers,82,28,54,48.4,106.4,33,75.3,8.4,5.1,18.5,13.5,15.3,45.1,2016-17,reg
28,Los Angeles Lakers,82,26,56,48.1,110.6,32.1,75.8,8.2,3.9,18,13.3,16.2,47.4,2016-17,reg
29,Phoenix Suns,82,24,58,48.4,109.3,33.1,76.4,8.2,4.9,18.1,13.5,16,44,2016-17,reg
30,Brooklyn Nets,82,20,62,48.2,108,35.1,76.1,7.2,4.7,19.1,14.3,14,45,2016-17,reg
1,Golden State Warriors,82,73,9,48.5,100.9,36.2,76,8.4,6.1,16.6,13.8,14.5,45.1,2015-16,reg
2,San Antonio Spurs,82,67,15,48.1,96.6,34.5,79.1,8.3,5.9,13.5,10.7,12.1,40.1,2015-16,reg
3,Cleveland Cavaliers,82,57,25,48.4,102.3,33.9,78.5,6.7,3.9,15.6,11.2,11.2,40.8,2015-16,reg
4,Toronto Raptors,82,56,26,48.2,102.7,33.2,77.7,7.8,5.5,14.2,11.6,11,40.1,2015-16,reg
5,Oklahoma City Thunder,82,55,27,48.4,103,35.6,76,7.4,5.9,17.6,13.9,13.2,45.2,2015-16,reg
6,LA Clippers,82,53,29,48.4,100.9,33.3,73.8,8.6,5.6,14.5,13.8,12.4,41.3,2015-16,reg
7,Miami Heat,82,48,34,48.4,101.5,34.3,77.8,6.7,6.5,15.6,13,10.7,42,2015-16,reg
7,Boston Celtics,82,48,34,48.2,100.9,33.3,74.6,9.2,4.2,14.8,14.2,10.8,43,2015-16,reg
7,Charlotte Hornets,82,48,34,48.4,101.8,35,79.8,7.3,5.3,14.1,11.4,12.4,40,2015-16,reg
7,Atlanta Hawks,82,48,34,48.4,98.8,33.8,74.6,9.1,5.9,16,13.1,11.9,40.9,2015-16,reg
11,Indiana Pacers,82,45,37,48.5,100.2,33.9,76,9,4.8,16.3,13,12.2,41.6,2015-16,reg
12,Detroit Pistons,82,44,38,48.5,103.4,33.9,79.3,7,3.7,14.6,10.7,10.4,44.4,2015-16,reg
12,Portland Trail Blazers,82,44,38,48.3,105.6,33.9,76.2,6.9,4.6,16.3,12.4,11.1,40.9,2015-16,reg
14,Dallas Mavericks,82,42,40,48.8,104.3,33.9,76.2,6.8,3.7,14.8,13.4,16,40.9,2015-16,reg
14,Chicago Bulls,82,42,40,48.5,103.9,35.2,74.9,6,5.7,16,14.3,13.8,44.4,2015-16,reg
14,Memphis Grizzlies,82,42,40,48.4,105.4,30.5,75.1,8.8,4.3,15.1,11.8,14.6,38.5,2015-16,reg
17,Houston Rockets,82,41,41,48.4,105.6,31.7,72.8,10,5.2,19.5,14.7,14.4,44.6,2015-16,reg
17,Washington Wizards,82,41,41,48.2,103.6,32.8,77.7,8.6,3.9,15.7,11.7,12.7,41.2,2015-16,reg
19,Utah Jazz,82,40,42,48.7,101.6,32.5,77.7,7.7,5.2,16,11.5,11.7,39.6,2015-16,reg
20,Orlando Magic,82,35,47,48.5,104.6,33,76.5,8.2,5.1,16,11.4,13.2,43.5,2015-16,reg
21,Milwaukee Bucks,82,33,49,48.4,105.7,31.2,73.1,8.2,5.8,17.7,14.1,13,44,2015-16,reg
21,Denver Nuggets,82,33,49,48.4,106.4,33.1,77.3,7.4,4.8,16.8,12.1,13,43.1,2015-16,reg
21,Sacramento Kings,82,33,49,48.3,106.3,33.7,74.9,8.9,4.5,18.6,13.6,15,43.6,2015-16,reg
24,New York Knicks,82,32,50,48.3,104.8,34,75.8,5.7,5.7,15.4,12.7,12.8,43.1,2015-16,reg
25,New Orleans Pelicans,82,30,52,48.2,107.3,33.1,78.8,7.7,4.2,15,11.3,11.7,43.2,2015-16,reg
26,Minnesota Timberwolves,82,29,53,48.5,107.1,31.5,74.7,8,4.6,17.8,13.2,13.4,46.1,2015-16,reg
27,Phoenix Suns,82,23,59,48.1,107,33.3,77.1,7.7,3.8,20.2,12.6,17.3,43.8,2015-16,reg
28,Brooklyn Nets,82,21,61,48.2,108.5,31.9,75.7,7.6,4,18.3,12.1,14.5,47.9,2015-16,reg
29,Los Angeles Lakers,82,17,65,48.1,109.3,32.3,74.7,7.2,4.1,16.5,14.3,17,47.8,2015-16,reg
30,Philadelphia 76ers,82,10,72,48.3,106.7,31.8,74,8.3,6,20,14.7,16.7,45.6,2015-16,reg
1,Golden State Warriors,82,67,15,48.1,98.2,34.3,74.5,9.3,6,15.2,14.2,13.9,41.6,2014-15,reg
2,Atlanta Hawks,82,60,22,48.1,100.7,31.8,73.4,9.1,4.6,15.7,14.2,11.2,39.4,2014-15,reg
3,Houston Rockets,82,56,26,48.3,100.5,32,72.9,9.5,5,18.3,14,15.3,44.1,2014-15,reg
3,Los Angeles Clippers,82,56,26,48.1,103,33.1,75.7,7.8,5,14.9,12.8,12.3,38.8,2014-15,reg
5,Memphis Grizzlies,82,55,27,48.5,99.9,32.1,75.3,8.5,4.2,14.1,11.6,13.4,39,2014-15,reg
5,San Antonio Spurs,82,55,27,48.7,99.6,33.8,77.3,8,5.4,15.1,11.9,14.1,42.5,2014-15,reg
7,Cleveland Cavaliers,82,53,29,48.2,104.1,31.9,74.7,7.4,4.1,16.2,12.4,11.8,42.7,2014-15,reg
8,Portland Trail Blazers,82,51,31,48.4,101.4,35.1,76.2,6.4,4.5,15.1,13.8,13.3,43.1,2014-15,reg
9,Chicago Bulls,82,50,32,48.5,101.5,34,74.4,6.3,5.8,15.3,13.2,13,40.8,2014-15,reg
9,Dallas Mavericks,82,50,32,48.5,103.7,31.8,72.2,8.1,4.5,15.2,14,15.9,40.9,2014-15,reg
11,Toronto Raptors,82,49,33,48.4,104.8,30.8,73.3,7.5,4.4,15,14.2,12.4,43.7,2014-15,reg
12,Washington Wizards,82,46,36,48.7,100,34.2,77.3,7.3,4.6,16.3,12.6,11.7,38.3,2014-15,reg
13,New Orleans Pelicans,82,45,37,48.2,104.7,32,75.1,6.7,6.2,14.8,12.9,13.7,46.5,2014-15,reg
13,Oklahoma City Thunder,82,45,37,48.4,103.1,34.7,75.6,7.3,5.5,16.5,12.8,12.5,42.8,2014-15,reg
15,Milwaukee Bucks,82,41,41,48.6,99.3,31.4,73.3,9.6,4.9,16.8,13.3,10.7,39.8,2014-15,reg
16,Boston Celtics,82,40,42,48.5,102.1,32.7,75,8.2,3.6,16.2,13.5,10.9,44.6,2014-15,reg
17,Phoenix Suns,82,39,43,48.5,103.4,32.2,73.5,8.5,4.7,17.2,14.4,15.2,45.3,2014-15,reg
18,Indiana Pacers,82,38,44,48.4,100.9,34.4,77.9,6.2,4.6,15.5,11.8,13,38.3,2014-15,reg
18,Utah Jazz,82,38,44,48.1,102.1,31.9,76.3,7.6,6,17.4,12.5,12.6,39.5,2014-15,reg
18,Brooklyn Nets,82,38,44,48.6,105,32,73.7,7,4.1,15.6,14,13.8,43.6,2014-15,reg
21,Miami Heat,82,37,45,48.1,103.8,30,73.4,7.8,4.5,16.9,13.3,11.4,41,2014-15,reg
22,Charlotte Hornets,82,33,49,48.5,101,34.1,79.3,6.1,5.5,12.8,12.6,11,38.5,2014-15,reg
23,Detroit Pistons,82,32,50,48.4,104.2,32.1,75,7.6,4.7,15.8,13.5,11.3,43,2014-15,reg
24,Denver Nuggets,82,30,52,48.5,105.5,32.4,74.7,7.8,4.5,16.4,14.1,13.2,42.9,2014-15,reg
25,Sacramento Kings,82,29,53,48.4,106.5,33.3,75.2,6.7,4,18.6,13.6,16.8,43.9,2014-15,reg
26,Orlando Magic,82,25,57,48.2,105.2,31.8,76,7.9,3.8,16.9,11.7,12.3,41,2014-15,reg
27,Los Angeles Lakers,82,21,61,48.6,108,32.3,76.3,7,4.5,15.9,12.5,15.1,45.1,2014-15,reg
28,Philadelphia 76ers,82,18,64,48.3,102.1,30.9,73,9.6,5.9,20.6,14,14.6,41.7,2014-15,reg
29,New York Knicks,82,17,65,48.4,107.2,29.8,73.1,7,4.7,17.1,12.5,12.3,41.1,2014-15,reg
30,Minnesota Timberwolves,82,16,66,48.3,109.6,29.3,71.6,8.1,4,17.4,14.9,14.3,48,2014-15,reg
1,San Antonio Spurs,82,62,20,48.2,100.1,34,76.4,7.4,5.1,16.3,12.7,12.8,42.2,2013-14,reg
2,Oklahoma City Thunder,82,59,23,48.3,101,33.9,75.6,8.3,6.1,17.3,12.3,12.8,39.7,2013-14,reg
3,Los Angeles Clippers,82,57,25,48.2,102.1,32.5,72.5,8.6,4.8,15.6,14.2,11.1,44.6,2013-14,reg
4,Indiana Pacers,82,56,26,48.2,96.7,34.5,76.8,6.7,5.4,15.4,11.7,11.7,35.7,2013-14,reg
5,Miami Heat,82,54,28,48.5,102.9,29.2,73,8.9,4.5,17.4,13.3,12,41.1,2013-14,reg
5,Portland Trail Blazers,82,54,28,48.4,104.7,34,74.7,5.5,4.7,15.6,14,13.3,45.6,2013-14,reg
5,Houston Rockets,82,54,28,48.4,103.1,34.1,74.1,7.6,5.6,18,14.6,13.8,44,2013-14,reg
8,Golden State Warriors,82,51,31,48.4,99.9,34.4,76.3,7.8,5,17,13,13.3,40.7,2013-14,reg
9,Memphis Grizzlies,82,50,32,48.3,102.1,30.8,75.7,7.7,4.6,15.6,11.5,13.4,38.6,2013-14,reg
10,Dallas Mavericks,82,49,33,48.4,105.9,30.7,72.7,8.6,4.3,16.2,13.5,15.6,43.6,2013-14,reg
11,Toronto Raptors,82,48,34,48.7,102.4,31.1,74.9,7,4.2,16.8,13.1,12.1,42.9,2013-14,reg
11,Chicago Bulls,82,48,34,48.6,97.8,32.7,75.4,7.2,5.2,15.6,11.7,12.4,37,2013-14,reg
11,Phoenix Suns,82,48,34,48.2,103.8,31.7,73.7,8.4,4.6,16.9,14.3,14.1,45.5,2013-14,reg
14,Washington Wizards,82,44,38,48.9,102.4,31.4,75.7,8.1,4.6,16.8,12.9,12.3,41.9,2013-14,reg
14,Brooklyn Nets,82,44,38,48.5,104.9,29.4,72.3,8.6,3.8,16.6,12.8,13,41.1,2013-14,reg
16,Charlotte Bobcats,82,43,39,48.5,101.2,33.2,77.6,6.1,5.1,14,12.6,10.2,38.8,2013-14,reg
17,Minnesota Timberwolves,82,40,42,48.4,104.1,32.2,74.4,8.8,3.6,15.9,12.9,16.3,46.1,2013-14,reg
18,Atlanta Hawks,82,38,44,48.4,104.1,31.3,74.4,8.3,4,17.3,13.2,12.4,42.5,2013-14,reg
19,New York Knicks,82,37,45,48.4,106.5,29.7,74.3,7.7,4.5,15,12.7,11.7,39.5,2013-14,reg
20,Denver Nuggets,82,36,46,48.2,105.4,33.1,74.5,7.5,5.6,17.6,14.1,13.5,45.3,2013-14,reg
21,New Orleans Pelicans,82,34,48,48.4,107.3,30.3,73.8,7.9,6.4,16.1,12.9,13.5,43.8,2013-14,reg
22,Cleveland Cavaliers,82,33,49,48.6,104.8,32.1,75.8,7.1,3.7,16.6,12.6,12.1,38.9,2013-14,reg
23,Detroit Pistons,82,29,53,48.2,107.3,30.8,73.4,8.4,4.8,16.9,14,14.1,44.3,2013-14,reg
24,Sacramento Kings,82,28,54,48.4,106.3,32.4,76.6,7.2,3.9,17.1,11.9,15.3,41.9,2013-14,reg
25,Los Angeles Lakers,82,27,55,48.1,107.9,32,71,7.5,5.4,18.3,15.8,16.7,49.2,2013-14,reg
26,Utah Jazz,82,25,57,48.2,109.1,30.2,74.5,7,4.5,17.4,12.3,15.6,45.8,2013-14,reg
26,Boston Celtics,82,25,57,48.1,105.2,30.5,74.2,7.1,4.2,16.5,13.8,13.3,44.8,2013-14,reg
28,Orlando Magic,82,23,59,48.7,104.8,32.4,75.5,7.7,4.3,16.7,13,13.2,39.9,2013-14,reg
29,Philadelphia 76ers,82,19,63,48.4,107.5,31.2,72.4,9.3,4,19.2,14.1,16.6,44.2,2013-14,reg
30,Milwaukee Bucks,82,15,67,48.5,108.9,29.3,71.4,6.6,4.9,17.8,13.2,12.9,42.4,2013-14,reg
1,Miami Heat,82,66,16,48.5,100.5,30.4,73,8.7,5.4,15.7,14.7,11.9,39.9,2012-13,reg
2,Oklahoma City Thunder,82,60,22,48.4,99.2,33.2,73.4,8.3,7.6,16.7,13.6,12.5,40.7,2012-13,reg
3,San Antonio Spurs,82,58,24,48.5,99.2,33.2,74.9,8.5,5.4,16.4,12.5,14.2,40,2012-13,reg
4,Denver Nuggets,82,57,25,48.5,102,31.7,71.8,9.3,6.5,17.3,14.9,12.2,40.7,2012-13,reg
5,Memphis Grizzlies,82,56,26,48.3,97.4,29.8,74.3,8.6,5.3,14.9,11.9,12.4,38,2012-13,reg
5,Los Angeles Clippers,82,56,26,48.1,101,30.2,73.5,9.6,5.6,16,13,12.3,37.2,2012-13,reg
7,New York Knicks,82,54,28,48.1,103.5,29.7,74.7,8.2,3.6,13.5,12.4,12.1,39.7,2012-13,reg
8,Brooklyn Nets,82,49,33,48.4,103.6,30,73.7,7.3,4.8,16.9,12.4,13.9,43.4,2012-13,reg
8,Indiana Pacers,81,49,32,48.4,96.6,33,74.6,7.2,6.3,16,13,10.1,35.5,2012-13,reg
10,Golden State Warriors,82,47,35,48.3,102.6,34.2,75.5,6.9,4.2,17.3,13.9,13.8,40.4,2012-13,reg
11,Chicago Bulls,82,45,37,48.4,100.3,30.7,73.6,7.2,5.1,15.4,12.7,13.1,39.3,2012-13,reg
11,Houston Rockets,82,45,37,48.2,103.5,32.3,75.2,8.3,4.4,18.4,12.6,14.2,41.9,2012-13,reg
11,Los Angeles Lakers,82,45,37,48.2,103.6,33.3,74.3,7,5.2,16.7,13.8,15.9,44.1,2012-13,reg
14,Atlanta Hawks,82,44,38,48.4,101.8,31.6,73.6,8.1,4.5,16.7,13.2,12,41,2012-13,reg
15,Utah Jazz,82,43,39,48.5,104.3,30,73.2,8.4,6.3,16.9,12.5,13.4,42.6,2012-13,reg
16,Dallas Mavericks,82,41,41,48.7,104,32.6,73.1,7.9,5.5,17.1,13.6,14,41.1,2012-13,reg
16,Boston Celtics,81,41,40,49,100.4,31.3,73.3,8.2,4.5,16.9,14.3,12.1,42.7,2012-13,reg
18,Milwaukee Bucks,82,38,44,48.4,102.3,30.9,71.3,8.4,6.7,16.8,14.6,15.1,46.2,2012-13,reg
19,Philadelphia 76ers,82,34,48,48.2,103,30.4,73.4,7.4,4.7,14.5,12.2,12.5,40.2,2012-13,reg
19,Toronto Raptors,82,34,48,48.7,104.7,29.6,73.4,7.3,4.8,15.5,13.2,11.9,42.5,2012-13,reg
21,Portland Trail Blazers,82,33,49,48.4,106.9,30.2,73.3,6.6,4.3,17.2,13.4,14.6,47.4,2012-13,reg
22,Minnesota Timberwolves,82,31,51,48.1,102.9,30.2,74,8.5,4.7,16.5,12.7,14,42.3,2012-13,reg
23,Detroit Pistons,82,29,53,48.3,105.6,30,73,7,4.9,17.8,13.5,13.5,42.9,2012-13,reg
23,Washington Wizards,82,29,53,48.4,100.6,32.3,74.6,7.3,4.6,16.8,12.6,12,38.1,2012-13,reg
25,Sacramento Kings,82,28,54,48.4,108.6,29.1,71,8.2,4.2,17.6,14.2,16.7,45.2,2012-13,reg
26,New Orleans Hornets,82,27,55,48.2,107.6,29.6,74.4,6.3,5.4,17.3,12.8,13.2,43.2,2012-13,reg
27,Phoenix Suns,82,25,57,48.3,105.7,29.9,71.9,8,5.3,18.6,13.5,14.9,45.6,2012-13,reg
28,Cleveland Cavaliers,82,24,58,48.1,106.9,28.8,72.6,7.9,4.1,16.2,13.7,13.1,42.5,2012-13,reg
29,Charlotte Bobcats,82,21,61,48.3,108.9,29.1,71.1,7.2,5.8,17,14,13.8,43.9,2012-13,reg
30,Orlando Magic,82,20,62,48.2,106.7,31.9,74.6,6.4,4.4,16.8,12.7,12.6,42.8,2012-13,reg
1,Chicago Bulls,66,50,16,48.3,95.3,32.8,74.3,6.9,5.9,15.4,11.9,12.1,38.2,2011-12,reg
1,San Antonio Spurs,66,50,16,48.3,100.6,32.6,76,7.4,4.4,15.2,11.1,14,40.5,2011-12,reg
3,Oklahoma City Thunder,66,47,19,48.5,100,32.7,72.1,7.5,8.2,16.7,14.7,12.3,42.4,2011-12,reg
4,Miami Heat,66,46,20,48.6,97.1,31.2,73.9,8.9,5.4,16.6,13.1,11.9,36.6,2011-12,reg
5,Indiana Pacers,66,42,24,48.5,100.4,31.4,72.3,7.9,5.4,15.1,13,12.5,38.1,2011-12,reg
6,Memphis Grizzlies,66,41,25,48.3,98.9,29.5,72.7,9.6,5.2,16,12.5,12.1,40.3,2011-12,reg
6,Los Angeles Lakers,66,41,25,48.7,101.7,34.1,74.8,5.9,5.3,16.6,12.7,15.1,40.4,2011-12,reg
8,Atlanta Hawks,66,40,26,49,98.6,31.3,74.4,8.1,4.6,16,12.6,12,40.5,2011-12,reg
8,Los Angeles Clippers,66,40,26,48.4,102.9,29.4,73.2,8.4,4.8,15.1,12.9,12.3,38.6,2011-12,reg
10,Boston Celtics,66,39,27,48.3,95.5,31.1,72.4,7.5,5.5,16.2,13.6,11.5,39.8,2011-12,reg
11,Denver Nuggets,66,38,28,48.6,103.4,31.9,74.3,8.2,5,17.3,12.6,12.2,39.5,2011-12,reg
12,Orlando Magic,66,37,29,48.4,101.7,31.2,75.5,6.8,4.2,16.2,11.8,10.9,37.4,2011-12,reg
13,Utah Jazz,66,36,30,49,103.6,31.1,73.8,8.3,5.8,15.3,12.2,14.4,42.3,2011-12,reg
13,Dallas Mavericks,66,36,30,48.7,99.7,32.7,74.8,8.6,5.1,15.8,12.3,14.4,38.9,2011-12,reg
13,New York Knicks,66,36,30,48.3,98.4,30.5,73.7,9.4,4.2,17.8,12.6,12.4,38.9,2011-12,reg
16,Philadelphia 76ers,66,35,31,48.2,96.6,32.5,75.2,8,5.2,11.6,11.7,10.2,36.4,2011-12,reg
17,Houston Rockets,66,34,32,48.7,102.1,30.5,73.4,7.5,4.8,16.7,13.3,13.7,44.5,2011-12,reg
18,Phoenix Suns,66,33,33,48,103.8,30.8,71.7,6.5,5.5,15.2,14.2,12.6,43.4,2011-12,reg
19,Milwaukee Bucks,66,31,35,48.1,102.4,30,70.9,8.3,5.1,16.5,13.8,13.4,41.4,2011-12,reg
20,Portland Trail Blazers,66,28,38,48.4,103.7,29.5,72.8,8,4.9,16,13.4,14.3,42.2,2011-12,reg
21,Minnesota Timberwolves,66,26,40,48.3,103.6,31.7,73,6.6,4.4,18.4,14,15.8,44.1,2011-12,reg
22,Detroit Pistons,66,25,41,48.4,104,28.5,72.8,7,4.2,18.4,12.2,14,40.1,2011-12,reg
23,Golden State Warriors,66,23,43,48.2,106,29.5,69.1,8,5.5,16.2,15.3,14.4,43.1,2011-12,reg
23,Toronto Raptors,66,23,43,48.4,101.5,31.4,75.4,6.5,4.9,15.4,12.4,12.5,37.6,2011-12,reg
25,New Jersey Nets,66,22,44,48.2,106.9,28.5,70.7,7.5,3.9,17.7,13.6,14.8,44.2,2011-12,reg
25,Sacramento Kings,66,22,44,48.2,106.8,29.5,70.5,8.5,4.9,17.8,14.4,17.1,48.2,2011-12,reg
27,Cleveland Cavaliers,66,21,45,48.4,106,29.5,72.2,7.1,4,16.9,14.5,11.7,43.6,2011-12,reg
27,New Orleans Hornets,66,21,45,48.3,102.3,30.2,73.1,7.4,4.8,17.7,13.3,12.9,40.9,2011-12,reg
29,Washington Wizards,66,20,46,48.1,103.8,29.9,70.9,8,6.3,18.2,14.5,14.5,40.7,2011-12,reg
30,Charlotte Bobcats,66,7,59,48.2,107.8,28.7,70.9,6,5.5,17.2,15.4,16,48.3,2011-12,reg
1,Chicago Bulls,82,62,20,48.4,97.4,32.4,76.2,7.2,5.7,15.4,11.9,13,36.2,2010-11,reg
2,San Antonio Spurs,82,61,21,48.2,102.8,31.7,74.6,7.3,4.5,15.3,13.2,14,41.2,2010-11,reg
3,Miami Heat,82,58,24,48.2,100.7,32.5,75.5,6.6,5.2,15.5,12.8,13,38.6,2010-11,reg
4,Dallas Mavericks,82,57,25,48.1,102.3,31.9,74.8,6.8,4.3,15.4,12.6,13.9,42,2010-11,reg
4,Los Angeles Lakers,82,57,25,48.4,101.3,31.9,72.3,7.3,5.1,14.7,13.8,13.7,39.9,2010-11,reg
6,Boston Celtics,82,56,26,48.2,97.8,31,74.7,8.2,4.2,15.1,12.5,11.2,37,2010-11,reg
